Frame,alignment,cohesion,collisionCount,neighbourhoodSize,separation,visibleSize,polerization
317,97.601113,11907.950251,616.000000,12.320000,0.705686,12.320000,0.130458
318,103.552367,11905.188629,616.000000,12.320000,0.795068,12.320000,0.097509
319,100.097547,11907.939716,616.000000,12.320000,0.702264,12.320000,0.065085
320,101.063671,11904.882075,616.000000,12.320000,0.812538,12.320000,0.043650
321,102.005705,11908.627441,616.000000,12.320000,0.710273,12.320000,0.049039
322,98.856749,11903.779137,616.000000,12.320000,0.806240,12.320000,0.079406
323,104.938472,11910.179186,616.000000,12.320000,0.802064,12.320000,0.119981
324,98.278682,11902.707810,616.000000,12.320000,0.772389,12.320000,0.157896
325,103.475358,11911.841322,616.000000,12.320000,0.851983,12.320000,0.195453
326,100.555198,11902.048822,616.000000,12.320000,0.728204,12.320000,0.220907
327,101.782411,11912.207629,616.000000,12.320000,0.835830,12.320000,0.234905
328,100.753231,11901.565938,616.000000,12.320000,0.694143,12.320000,0.246435
329,97.627540,11911.673405,616.000000,12.320000,0.871129,12.320000,0.249393
330,106.324907,11902.577008,616.000000,12.320000,0.729666,12.320000,0.248762
331,95.047820,11911.214568,616.000000,12.320000,0.841218,12.320000,0.242668
332,110.455170,11904.158111,616.000000,12.320000,0.810947,12.320000,0.232451
333,94.716719,11910.122154,616.000000,12.320000,0.815414,12.320000,0.217949
334,110.540620,11905.227380,616.000000,12.320000,0.826949,12.320000,0.208153
335,95.845251,11908.902335,616.000000,12.320000,0.756621,12.320000,0.201843
336,107.532030,11906.049618,616.000000,12.320000,0.822880,12.320000,0.194953
337,98.941223,11907.957314,616.000000,12.320000,0.739401,12.320000,0.195003
338,104.723174,11906.087844,616.000000,12.320000,0.798727,12.320000,0.190932
339,101.759852,11907.694438,616.000000,12.320000,0.806196,12.320000,0.182142
340,103.012790,11906.483520,616.000000,12.320000,0.755557,12.320000,0.165062
341,102.073019,11907.539859,616.000000,12.320000,0.839403,12.320000,0.142211
342,104.842010,11906.709475,616.000000,12.320000,0.768616,12.320000,0.127345
343,101.340697,11906.867426,616.000000,12.320000,0.864489,12.320000,0.134629
344,106.111226,11906.531782,616.000000,12.320000,0.705242,12.320000,0.152025
345,97.582622,11906.127867,616.000000,12.320000,0.873038,12.320000,0.188056
346,109.505701,11907.159135,616.000000,12.320000,0.721698,12.320000,0.218207
347,94.853557,11905.694028,616.000000,12.320000,0.834547,12.320000,0.241954
348,112.439808,11907.991908,616.000000,12.320000,0.798044,12.320000,0.260329
349,93.076808,11905.355347,616.000000,12.320000,0.831098,12.320000,0.269254
350,112.630361,11908.008057,616.000000,12.320000,0.839636,12.320000,0.267716
351,93.025048,11905.161828,616.000000,12.320000,0.824954,12.320000,0.254062
352,111.635647,11907.828776,616.000000,12.320000,0.868785,12.320000,0.229187
353,94.481163,11905.628082,616.000000,12.320000,0.748262,12.320000,0.195594
354,107.661305,11907.069399,616.000000,12.320000,0.827188,12.320000,0.154241
355,98.029519,11907.306155,616.000000,12.320000,0.799050,12.320000,0.104325
356,104.534000,11905.869901,616.000000,12.320000,0.796795,12.320000,0.060083
357,101.652348,11909.266818,616.000000,12.320000,0.841936,12.320000,0.011275
358,102.613503,11904.543931,616.000000,12.320000,0.784348,12.320000,0.039545
359,101.889847,11910.445804,616.000000,12.320000,0.877043,12.320000,0.077922
360,101.814940,11903.080626,616.000000,12.320000,0.745645,12.320000,0.115037
361,101.045511,11911.042557,616.000000,12.320000,0.882680,12.320000,0.142834
362,103.080257,11902.742042,616.000000,12.320000,0.739827,12.320000,0.161669
